location	chromosome	start	end	bases	gc	mappability	blacklist	residual	use
1:3200001-3300000	1	3200001	3300000	100	56.969	95.4869	0	0.00311653589700744	TRUE
1:3300001-3400000	1	3300001	3400000	100	58.308	97.3131	0	-0.0637712838122854	TRUE
1:3400001-3500000	1	3400001	3500000	100	61.924	96.628	0	0.00302309678899126	TRUE
1:3500001-3600000	1	3500001	3600000	100	57.064	92.8618	0	-0.0527550000726935	TRUE
1:3600001-3700000	1	3600001	3700000	100	58.669	92.3138	0.523	-0.00184250984233886	TRUE
1:3700001-3800000	1	3700001	3800000	100	50.102	83.8294	0	-0.0397045592056111	TRUE
1:3800001-3900000	1	3800001	3900000	45.268	52.5536803039675	90.2445	0	-0.0447576067585224	TRUE
1:3900001-4000000	1	3900001	4000000	4.732	46.978021978022	83.1707	0	0.0824800885540304	TRUE
1:4000001-4100000	1	4000001	4100000	100	49.664	90.5411	0	-0.0472267832053994	TRUE
1:4100001-4200000	1	4100001	4200000	100	50.5	87.5925	0	-0.0314868774278714	TRUE
1:4200001-4300000	1	4200001	4300000	100	47.157	85.3641	0	-0.0153245117404053	TRUE
1:4300001-4400000	1	4300001	4400000	100	46.28	89.583	0.178	-0.0439452875168703	TRUE
1:4400001-4500000	1	4400001	4500000	100	47.686	94.204	0.113	-0.0183114126712338	TRUE
1:4500001-4600000	1	4500001	4600000	100	47.844	94.1284	0	-0.0254510433132203	TRUE
1:4600001-4700000	1	4600001	4700000	100	47.966	90.8509	0	-0.0388468024791911	TRUE
1:4700001-4800000	1	4700001	4800000	100	52.822	95.9272	0	-0.0425664377250526	TRUE
1:4800001-4900000	1	4800001	4900000	100	47.591	95.1851	0	-0.0358106443418488	TRUE
1:4900001-5000000	1	4900001	5000000	100	44.691	84.6173	0	-0.00731554965288789	TRUE
1:5000001-5100000	1	5000001	5100000	100	44.523	96.1479	0	-0.0147818555038427	TRUE
1:5100001-5200000	1	5100001	5200000	100	41.039	82.5565	0	-0.0240972721032023	TRUE
1:5200001-5300000	1	5200001	5300000	100	43.109	93.6102	0	-0.0281767194084726	TRUE
1:5300001-5400000	1	5300001	5400000	100	46.996	93.1484	0	-0.0249042653634736	TRUE
1:5400001-5500000	1	5400001	5500000	100	48.056	95.5839	0	-0.00025626266483858	TRUE
1:5500001-5600000	1	5500001	5600000	100	49.138	95.1286	0	-0.0249725761996257	TRUE
1:5600001-5700000	1	5600001	5700000	100	43.856	92.9021	0	-0.042014618233721	TRUE
1:5700001-5800000	1	5700001	5800000	100	49.554	89.9402	10.785	-0.00950764731789205	TRUE
1:5800001-5900000	1	5800001	5900000	100	51.265	90.3698	0	-0.00376579128012267	TRUE
1:5900001-6000000	1	5900001	6000000	100	51.752	94.8426	0	-0.00865496643171232	TRUE
1:6000001-6100000	1	6000001	6100000	100	52.325	92.659	0	-0.0361856091251321	TRUE
1:6100001-6200000	1	6100001	6200000	100	55.803	93.1777	0	-0.0179363873305754	TRUE
1:6200001-6300000	1	6200001	6300000	100	54.45	86.0668	0	-0.0224178792100954	TRUE
1:6300001-6400000	1	6300001	6400000	100	56.474	90.4421	0	0.0188598422203872	TRUE
1:6400001-6500000	1	6400001	6500000	100	53.484	75.9003	0	-0.0171774923136158	TRUE
1:6500001-6600000	1	6500001	6600000	100	57.133	82.6696	0	-0.0295850794569532	TRUE
1:6600001-6700000	1	6600001	6700000	100	53.375	82.6213	0	-0.0323559607055965	TRUE
1:6700001-6800000	1	6700001	6800000	100	46.573	80.138	0	0.0278248417405532	TRUE
1:6800001-6900000	1	6800001	6900000	100	43.502	86.626	0	-0.0478258830672463	TRUE
1:6900001-7000000	1	6900001	7000000	100	44.401	93.4243	0	0.00221441712013415	TRUE
1:7000001-7100000	1	7000001	7100000	100	47.982	92.1909	0	-0.021298766783602	TRUE
1:7100001-7200000	1	7100001	7200000	100	48.46	94.3325	0	-0.00870363463261004	TRUE
1:7200001-7300000	1	7200001	7300000	100	45.37	91.2837	0	-0.0294334692227981	TRUE
1:7300001-7400000	1	7300001	7400000	100	43.758	93.4409	0	-0.00478199663228385	TRUE
1:7400001-7500000	1	7400001	7500000	100	49.766	88.1133	0	0.0134632486029268	TRUE
1:7500001-7600000	1	7500001	7600000	100	53.96	96.2174	0	-0.000843588488177172	TRUE
1:7600001-7700000	1	7600001	7700000	100	52.349	86.92	0	0.0353843633409126	TRUE
1:7700001-7800000	1	7700001	7800000	100	52.116	92.6291	0	-0.0389034510934204	TRUE
1:7800001-7900000	1	7800001	7900000	100	41.05	89.4946	0	-0.0061788300198784	TRUE
1:7900001-8000000	1	7900001	8000000	100	44.65	82.3839	0	-0.0432048558506142	TRUE
1:8000001-8100000	1	8000001	8100000	100	44.882	83.1717	0	-0.0141275400072781	TRUE
1:8100001-8200000	1	8100001	8200000	100	43.694	81.3521	0	0.012510957750527	TRUE
1:8200001-8300000	1	8200001	8300000	100	47.711	81.0751	0	-0.0293728943242739	TRUE
1:8300001-8400000	1	8300001	8400000	100	47.813	79.0725	0	-0.0205383177612111	TRUE
1:8400001-8500000	1	8400001	8500000	100	47.251	92.969	0	-0.0263215034693095	TRUE
1:8500001-8600000	1	8500001	8600000	100	42.303	85.2808	0	0.0211193612620991	TRUE
1:8600001-8700000	1	8600001	8700000	100	39.575	84.8305	0	0.00961797070352055	TRUE
1:8700001-8800000	1	8700001	8800000	100	40.618	86.8534	0	0.000159897527394537	TRUE
1:8800001-8900000	1	8800001	8900000	100	42.183	82.1848	0	-0.0108800250826763	TRUE
1:8900001-9000000	1	8900001	9000000	100	48.326	75.2762	0	0.0167247350888327	TRUE
1:9000001-9100000	1	9000001	9100000	100	49.491	81.1363	0	0.00791664279607351	TRUE
1:9100001-9200000	1	9100001	9200000	100	48.009	80.9119	0	-0.0378080538772022	TRUE
1:9200001-9300000	1	9200001	9300000	100	50.247	83.6941	0	-0.00405145736902174	TRUE
1:9300001-9400000	1	9300001	9400000	100	53.006	92.5379	0	0.00359948278857014	TRUE
1:9400001-9500000	1	9400001	9500000	100	52.593	87.0279	0	0.0574892576651436	TRUE
1:9500001-9600000	1	9500001	9600000	100	49.392	75.8655	0	0.00024882558516498	TRUE
1:9600001-9700000	1	9600001	9700000	100	50.873	80.4221	0	0.00582924028718956	TRUE
1:9700001-9800000	1	9700001	9800000	100	51.305	80.838	0	-0.0246972785037778	TRUE
1:9800001-9900000	1	9800001	9900000	100	47.267	77.3401	0	-0.007970885953486	TRUE
1:9900001-10000000	1	9900001	10000000	100	49.787	81.7295	0	0.0177095401327211	TRUE
1:10000001-10100000	1	10000001	10100000	100	46.975	67.0258	0	0.0586490886689064	TRUE
1:10100001-10200000	1	10100001	10200000	100	43.699	80.4918	0	0.0171328627889465	TRUE
1:10200001-10300000	1	10200001	10300000	100	44.759	75.544	0	0.00544183853154734	TRUE
1:10300001-10400000	1	10300001	10400000	100	40.935	85.3455	0	0.020083769927148	TRUE
1:10400001-10500000	1	10400001	10500000	100	46.213	79.3639	0	0.0205624711160204	TRUE
1:10500001-10600000	1	10500001	10600000	100	46.194	82.3796	0	0.0258883733311548	TRUE
1:10600001-10700000	1	10600001	10700000	100	46.197	89.2369	0	-0.0539838012078931	TRUE
1:10700001-10800000	1	10700001	10800000	100	58.294	97.3426	0	-0.048923505582752	TRUE
1:10800001-10900000	1	10800001	10900000	100	53.447	92.6128	0	-0.040797956336114	TRUE
1:10900001-11000000	1	10900001	11000000	100	51.561	86.6898	0	-0.0299462617063183	TRUE
1:11000001-11100000	1	11000001	11100000	100	49.028	77.9583	0	-0.00179281343235138	TRUE
1:11100001-11200000	1	11100001	11200000	100	48.378	79.674	0	0.00746649271498701	TRUE
1:11200001-11300000	1	11200001	11300000	100	43.675	83.6133	0	0.0443606026611234	TRUE
1:11300001-11400000	1	11300001	11400000	100	49.536	80.9073	0	0.0468611103676896	TRUE
1:11400001-11500000	1	11400001	11500000	100	49.489	84.1635	0	0.0362665290358468	TRUE
1:11500001-11600000	1	11500001	11600000	100	52.835	93.5444	0	0.0142112486063124	TRUE
1:11600001-11700000	1	11600001	11700000	100	50.169	89.9289	0	0.0254355577748763	TRUE
1:11700001-11800000	1	11700001	11800000	100	53.789	85.5029	0	0.00379617978704949	TRUE
1:11800001-11900000	1	11800001	11900000	100	51.818	86.9023	0	0.0142201801610694	TRUE
1:11900001-12000000	1	11900001	12000000	100	51.326	80.8397	0	0.00517340710212411	TRUE
1:12000001-12100000	1	12000001	12100000	100	52.254	80.6612	0	0.0462084191287156	TRUE
1:12100001-12200000	1	12100001	12200000	100	50.53	82.1618	0	0.0525480948886212	TRUE
1:12200001-12300000	1	12200001	12300000	100	52.499	87.9837	0	0.0074243918435436	TRUE
1:12300001-12400000	1	12300001	12400000	100	41.709	88.2507	0	0.045802990237474	TRUE
1:12400001-12500000	1	12400001	12500000	100	41.155	88.4319	0	0.0757996083790091	TRUE
1:12500001-12600000	1	12500001	12600000	100	44.926	90.6435	0	0.0185036015902543	TRUE
1:12600001-12700000	1	12600001	12700000	100	51.621	88.1911	0	0.00291503255236902	TRUE
1:12700001-12800000	1	12700001	12800000	100	44.264	81.5996	0	0.0312687931157368	TRUE
1:12800001-12900000	1	12800001	12900000	100	44.752	60.5183	0	NA	TRUE
1:12900001-13000000	1	12900001	13000000	100	45.468	29.9322	0	NA	TRUE
1:13000001-13100000	1	13000001	13100000	52.998	45.5507755009623	18.5953	0	NA	TRUE
1:13100001-13200000	1	13100001	13200000	97.002	45.7980247829942	34.7119	0	NA	TRUE
1:13200001-13300000	1	13200001	13300000	19.912	47.5140618722378	35.1293	0	NA	TRUE
1:13300001-13400000	1	13300001	13400000	80.088	46.1205174308261	24.0031	0	NA	TRUE
1:13400001-13500000	1	13400001	13500000	100	46.195	23.0395	0	NA	TRUE
1:13500001-13600000	1	13500001	13600000	57.162	47.0242468772961	33.6828	0	NA	TRUE
1:13600001-13700000	1	13600001	13700000	92.838	46.1341261121524	22.6566	0	NA	TRUE
1:13700001-13800000	1	13700001	13800000	100	47.359	42.3218	0	NA	TRUE
1:13800001-13900000	1	13800001	13900000	100	47.646	79.7222	0	-0.00685646042659704	TRUE
1:13900001-14000000	1	13900001	14000000	100	45.048	80.9949	0	0.0167240356522779	TRUE
1:14000001-14100000	1	14000001	14100000	100	40.818	91.3534	0	-0.0119806846590629	TRUE
1:14100001-14200000	1	14100001	14200000	100	45.444	89.3938	0	-0.0100230454017567	TRUE
1:14200001-14300000	1	14200001	14300000	100	44.177	92.523	0	-0.0173118324667584	TRUE
1:14300001-14400000	1	14300001	14400000	100	42.193	87.5907	0	0.00978100030289453	TRUE
1:14400001-14500000	1	14400001	14500000	100	43.068	91.7842	0	-0.0268243721487767	TRUE
1:14500001-14600000	1	14500001	14600000	100	41.055	93.3625	0	0.0373604541069161	TRUE
1:14600001-14700000	1	14600001	14700000	100	42.187	86.3483	0	0.0407019545335732	TRUE
1:14700001-14800000	1	14700001	14800000	100	43.178	85.6227	0	0.00572423367158426	TRUE
1:14800001-14900000	1	14800001	14900000	100	43.437	92.3525	0	0.0166565050658545	TRUE
1:14900001-15000000	1	14900001	15000000	100	45.705	92.8984	0	-0.00772470037770456	TRUE
1:15000001-15100000	1	15000001	15100000	100	47.228	92.7698	0	0.00918716845340128	TRUE
1:15100001-15200000	1	15100001	15200000	100	48.408	91.516	0	0.0264720573998065	TRUE
1:15200001-15300000	1	15200001	15300000	100	50.407	88.7417	0	0.0203029708315468	TRUE
1:15300001-15400000	1	15300001	15400000	100	51.928	87.9014	0	0.0158400831178471	TRUE
1:15400001-15500000	1	15400001	15500000	100	49.496	90.5627	0	-0.0226114369098535	TRUE
1:15500001-15600000	1	15500001	15600000	100	46.428	89.8319	0	-0.007851796217832	TRUE
1:15600001-15700000	1	15600001	15700000	100	48.016	87.8771	0	0.0296185333723857	TRUE
1:15700001-15800000	1	15700001	15800000	100	51.032	84.3407	0	-0.00336921126518014	TRUE
1:15800001-15900000	1	15800001	15900000	100	45.967	81.0087	0	-0.0326789410496726	TRUE
1:15900001-16000000	1	15900001	16000000	100	44.92	79.6318	0	0.00294344312616246	TRUE
1:16000001-16100000	1	16000001	16100000	100	53.526	81.815	0	0.0209085573974832	TRUE
1:16100001-16200000	1	16100001	16200000	100	47.65	70.6965	0	-0.0425688746182129	TRUE
1:16200001-16300000	1	16200001	16300000	100	45.462	87.8306	0	-0.04794899292331	TRUE
1:16300001-16400000	1	16300001	16400000	100	55.541	82.7898	0.027	-0.0562870797070891	TRUE
1:16400001-16500000	1	16400001	16500000	100	54.362	85.0144	0	1.15592212921456e-05	TRUE
1:16500001-16600000	1	16500001	16600000	100	50.903	87.6482	0	-0.0167758708346396	TRUE
1:16600001-16700000	1	16600001	16700000	100	44.762	72.59	0	-0.0163026327058607	TRUE
1:16700001-16800000	1	16700001	16800000	100	48.976	81.4919	0	0.0383194372782666	TRUE
1:16800001-16900000	1	16800001	16900000	100	47.367	41.6318	1.473	NA	TRUE
1:16900001-17000000	1	16900001	17000000	100	47.648	41.1175	0	NA	TRUE
1:17000001-17100000	1	17000001	17100000	100	50.24	49.8248	0	NA	TRUE
1:17100001-17200000	1	17100001	17200000	50	45.276	41.2194	0	NA	TRUE
1:17200001-17300000	1	17200001	17300000	100	51.566	64.0122	0	NA	TRUE
1:17300001-17400000	1	17300001	17400000	100	50.445	85.8456	0	-0.06856304800972	TRUE
1:17400001-17500000	1	17400001	17500000	100	49.852	88.8616	0	-0.0197490707403544	TRUE
1:17500001-17600000	1	17500001	17600000	100	51.009	91.9215	0.346	-0.00676135415050366	TRUE
1:17600001-17700000	1	17600001	17700000	100	49.019	84.6515	0	-0.0364009566886698	TRUE
1:17700001-17800000	1	17700001	17800000	100	50.917	79.4653	0	-0.00359775760724845	TRUE
1:17800001-17900000	1	17800001	17900000	100	50.833	78.0373	0	0.0188996982845944	TRUE
1:17900001-18000000	1	17900001	18000000	100	54.918	94.8034	0	0.00463286989552181	TRUE
1:18000001-18100000	1	18000001	18100000	100	51.926	93.5087	0	-0.0178850483622623	TRUE
1:18100001-18200000	1	18100001	18200000	100	48.201	92.7418	0	-0.0283114293692728	TRUE
1:18200001-18300000	1	18200001	18300000	100	48.422	93.8454	0	-0.00707372890909669	TRUE
1:18300001-18400000	1	18300001	18400000	100	48.339	95.3114	0	-0.00274076806624579	TRUE
1:18400001-18500000	1	18400001	18500000	100	50.376	94.4363	0	0.0051554659519184	TRUE
1:18500001-18600000	1	18500001	18600000	100	48.985	96.0068	0	0.00627756282221603	TRUE
1:18600001-18700000	1	18600001	18700000	100	49.789	96.3621	0	0.00179977665367448	TRUE
1:18700001-18800000	1	18700001	18800000	100	47.723	93.4096	0	0.0192516930305923	TRUE
1:18800001-18900000	1	18800001	18900000	100	47.4	93.4753	0	-0.0264670426148835	TRUE
1:18900001-19000000	1	18900001	19000000	100	50.452	91.2877	0	-0.0617056911536855	TRUE
1:19000001-19100000	1	19000001	19100000	100	50.515	93.4162	0	0.0208891592536044	TRUE
1:19100001-19200000	1	19100001	19200000	100	50.917	94.1484	0	0.0146783171325062	TRUE
1:19200001-19300000	1	19200001	19300000	100	53.328	94.5656	0	-0.00771824441693708	TRUE
1:19300001-19400000	1	19300001	19400000	100	48.947	89.3921	0	-0.0255888888544026	TRUE
1:19400001-19500000	1	19400001	19500000	100	44.723	96.254	0	0.0600978720173869	TRUE
1:19500001-19600000	1	19500001	19600000	100	45.557	86.8185	0	-0.00851697542559932	TRUE
1:19600001-19700000	1	19600001	19700000	100	51.547	86.5259	0	-0.0359892121357803	TRUE
1:19700001-19800000	1	19700001	19800000	100	47.719	92.2021	0	0.0215643783984744	TRUE
1:19800001-19900000	1	19800001	19900000	100	46.031	77.7059	0	-0.0205400169586006	TRUE
1:19900001-20000000	1	19900001	20000000	100	48.037	85.101	0	-0.0351535671961813	TRUE
1:20000001-20100000	1	20000001	20100000	100	49.59	87.7255	0	0.0350898956106949	TRUE
1:20100001-20200000	1	20100001	20200000	100	44.769	83.7479	0	-0.0198078780338973	TRUE
1:20200001-20300000	1	20200001	20300000	100	44.925	88.3256	0	0.0263742467000154	TRUE
1:20300001-20400000	1	20300001	20400000	100	42.229	73.6574	0	0.00227406653097173	TRUE
1:20400001-20500000	1	20400001	20500000	100	49.734	89.7496	0	0.0076890513090937	TRUE
1:20500001-20600000	1	20500001	20600000	100	46	92.9206	0	0.0253796613371116	TRUE
1:20600001-20700000	1	20600001	20700000	100	50.273	94.9896	0	0.00685738318151496	TRUE
1:20700001-20800000	1	20700001	20800000	100	48.365	93.6592	0	0.00979070107680735	TRUE
1:20800001-20900000	1	20800001	20900000	100	48.97	85.5627	0	-0.0263055792292161	TRUE
1:20900001-21000000	1	20900001	21000000	100	48.951	83.7387	0	-0.0145253119639603	TRUE
1:21000001-21100000	1	21000001	21100000	100	49.24	86.2597	0	-0.0543312945051372	TRUE
1:21100001-21200000	1	21100001	21200000	100	41.705	81.6429	0	-0.0215670107665777	TRUE
1:21200001-21300000	1	21200001	21300000	100	37.763	89.5407	0	-0.0158480614463376	TRUE
1:21300001-21400000	1	21300001	21400000	100	38.884	88.672	0	-0.0214662814675281	TRUE
1:21400001-21500000	1	21400001	21500000	100	40.143	80.703	0	-0.022929510502499	TRUE
1:21500001-21600000	1	21500001	21600000	100	49.589	80.9216	0	0.0101214691030017	TRUE
1:21600001-21700000	1	21600001	21700000	100	51.302	86.7027	0	0.00788945367088867	TRUE
1:21700001-21800000	1	21700001	21800000	100	45.767	58.9744	0	-0.0614934138384374	TRUE
1:21800001-21900000	1	21800001	21900000	100	49.877	78.5837	0	0.0171525753199091	TRUE
1:21900001-22000000	1	21900001	22000000	100	56.264	93.1215	0	0.0237262928269047	TRUE
1:22000001-22100000	1	22000001	22100000	100	41.506	84.9342	0	-0.035311816123792	TRUE
1:22100001-22200000	1	22100001	22200000	100	52.741	80.1855	0	0.00231704209236072	TRUE
1:22200001-22300000	1	22200001	22300000	100	53.592	84.6856	0	0.0338566933089746	TRUE
1:22300001-22400000	1	22300001	22400000	100	47.938	64.0395	0	-0.0784472374388243	TRUE
1:22400001-22500000	1	22400001	22500000	100	49.183	91.5495	0	-0.00774200740711145	TRUE
1:22500001-22600000	1	22500001	22600000	100	51.678	93.1537	0	-0.00498162533109925	TRUE
1:22600001-22700000	1	22600001	22700000	100	48.584	91.4202	0.068	0.00923810432069583	TRUE
1:22700001-22800000	1	22700001	22800000	100	45.19	90.5966	0	-0.0247628378038048	TRUE
1:22800001-22900000	1	22800001	22900000	100	48.077	95.3176	0	0.00266933722005214	TRUE
1:22900001-23000000	1	22900001	23000000	100	52.979	94.6513	0	-0.0122088730943811	TRUE
1:23000001-23100000	1	23000001	23100000	100	50.973	91.8152	0	-0.00340954013737604	TRUE
1:23100001-23200000	1	23100001	23200000	100	51.778	94.6252	0	0.0308537309646347	TRUE
1:23200001-23300000	1	23200001	23300000	100	49.587	88.6536	0	0.0226344669324346	TRUE
1:23300001-23400000	1	23300001	23400000	100	41.574	81.5907	0	-0.0189497370276061	TRUE
1:23400001-23500000	1	23400001	23500000	100	42.953	87.7159	0	-0.0149512059054414	TRUE
1:23500001-23600000	1	23500001	23600000	100	47.579	78.4543	0	0.0163382848633734	TRUE
1:23600001-23700000	1	23600001	23700000	100	41.122	86.7898	0	-0.0124812491980776	TRUE
1:23700001-23800000	1	23700001	23800000	100	48.957	85.0628	0	0.0664533137758803	TRUE
1:23800001-23900000	1	23800001	23900000	100	49.977	82.0373	0	0.0243097424235172	TRUE
1:23900001-24000000	1	23900001	24000000	100	48.411	81.7922	0	0.0627629927053239	TRUE
1:24000001-24100000	1	24000001	24100000	100	46.56	76.3415	0	0.0791946861291786	TRUE
1:24100001-24200000	1	24100001	24200000	100	47.655	78.4293	0	0.0214551750928389	TRUE
1:24200001-24300000	1	24200001	24300000	100	45.383	76.2015	0	NA	TRUE
1:24300001-24400000	1	24300001	24400000	100	46.369	75.9941	0	NA	TRUE
1:24400001-24500000	1	24400001	24500000	100	50.671	90.5463	0	0.0161197216106314	TRUE
1:24500001-24600000	1	24500001	24600000	100	46.893	83.1574	0	0.0135804360856128	TRUE
1:24600001-24700000	1	24600001	24700000	100	48.551	93.1433	0	0.0336960304760348	TRUE
1:24700001-24800000	1	24700001	24800000	100	43.7	92.2848	0	0.0342818558984082	TRUE
1:24800001-24900000	1	24800001	24900000	100	44.925	84.5692	0	-0.0209549250156553	TRUE
1:24900001-25000000	1	24900001	25000000	100	44	82.901	0	-0.0348682756327583	TRUE
1:25000001-25100000	1	25000001	25100000	100	47.111	76.5087	0	-0.00380125665089032	TRUE
1:25100001-25200000	1	25100001	25200000	100	43.343	80.7065	0	-0.0266233017815004	TRUE
1:25200001-25300000	1	25200001	25300000	100	52.325	95.1591	0	-0.0202973914071226	TRUE
1:25300001-25400000	1	25300001	25400000	100	52.114	93.8299	0	0.0254596007733676	TRUE
1:25400001-25500000	1	25400001	25500000	100	46.449	89.8831	0.113	0.0231346316230466	TRUE
1:25500001-25600000	1	25500001	25600000	100	46.803	77.4495	0	-0.0172716923640588	TRUE
1:25600001-25700000	1	25600001	25700000	100	45.383	56.2577	0	NA	TRUE
1:25700001-25800000	1	25700001	25800000	100	44.195	68.077	0	NA	TRUE
1:25800001-25900000	1	25800001	25900000	100	49.033	86.7223	0	0.0228381378060273	TRUE
1:25900001-26000000	1	25900001	26000000	100	47.498	85.077	0	0.00102005992700693	TRUE
1:26000001-26100000	1	26000001	26100000	100	49.591	91.601	0	0.0309069843463144	TRUE
1:26100001-26200000	1	26100001	26200000	100	49.782	89.2388	0	0.00472260183697382	TRUE
1:26200001-26300000	1	26200001	26300000	100	47.378	83.399	0	0.021379557814737	TRUE
1:26300001-26400000	1	26300001	26400000	100	50.221	88.0863	0	0.0303931924471215	TRUE
1:26400001-26500000	1	26400001	26500000	100	46.997	82.9377	0	-0.0164297332931046	TRUE
1:26500001-26600000	1	26500001	26600000	100	47.86	81.2549	0	0.0162462363314243	TRUE
1:26600001-26700000	1	26600001	26700000	100	53.114	86.2793	0	0.0372443572218065	TRUE
1:26700001-26800000	1	26700001	26800000	100	46.482	80.3802	0	0.0183088340254476	TRUE
1:26800001-26900000	1	26800001	26900000	100	50.18	78.3974	0	0.0322051146146445	TRUE
1:26900001-27000000	1	26900001	27000000	100	45.439	71.1097	0	-0.00225411125091379	TRUE
1:27000001-27100000	1	27000001	27100000	100	45.532	85.4385	0	0.0393429724734037	TRUE
1:27100001-27200000	1	27100001	27200000	100	50.336	79.9008	0	0.0610967852143957	TRUE
1:27200001-27300000	1	27200001	27300000	100	49.066	79.1602	0	0.0325211762909163	TRUE
1:27300001-27400000	1	27300001	27400000	100	51.251	76.2418	0	0.0425373141477031	TRUE
1:27400001-27500000	1	27400001	27500000	100	50.234	82.6473	0	0.0293272399826108	TRUE
1:27500001-27600000	1	27500001	27600000	100	45.077	70.0876	0	0.0037278128705468	TRUE
1:27600001-27700000	1	27600001	27700000	100	51.734	84.8421	0	0.0211777096512891	TRUE
1:27700001-27800000	1	27700001	27800000	100	47.292	82.5717	0	-0.00410575800277169	TRUE
1:27800001-27900000	1	27800001	27900000	100	52.391	85.1855	0	-0.00288155281923919	TRUE
1:27900001-28000000	1	27900001	28000000	100	52.675	89.7061	0	0.031103700183448	TRUE
1:28000001-28100000	1	28000001	28100000	100	44.224	77.0478	0	0.0285183528794651	TRUE
1:28100001-28200000	1	28100001	28200000	100	45.039	76.4946	0	0.0662283198748296	TRUE
1:28200001-28300000	1	28200001	28300000	100	48.354	82.1276	0.071	0.0188676948144494	TRUE
1:28300001-28400000	1	28300001	28400000	100	39.492	84.6844	0	0.00857427809176314	TRUE
1:28400001-28500000	1	28400001	28500000	100	44.959	78.5464	0	0.0199615106340473	TRUE
1:28500001-28600000	1	28500001	28600000	100	46.396	79.0991	0	0.00253927420537792	TRUE
1:28600001-28700000	1	28600001	28700000	100	46.234	70.9351	0	0.0150153306386461	TRUE
1:28700001-28800000	1	28700001	28800000	100	42.2	75.8617	0	-0.0249376647357188	TRUE
1:28800001-28900000	1	28800001	28900000	100	47.574	70.9459	0	0.0341462775351103	TRUE
1:28900001-29000000	1	28900001	29000000	100	47.89	68.4455	0	0.0307326567358372	TRUE
1:29000001-29100000	1	29000001	29100000	100	44.737	73.3942	0	0.00267510671951288	TRUE
1:29100001-29200000	1	29100001	29200000	100	49.509	79.4443	0	0.0597765499116395	TRUE
1:29200001-29300000	1	29200001	29300000	100	44.66	80.9732	0	-0.0258773159450675	TRUE
1:29300001-29400000	1	29300001	29400000	100	39.636	82.5749	0	-0.00129022011899932	TRUE
1:29400001-29500000	1	29400001	29500000	100	45.964	79.805	0	-0.0478990000818765	TRUE
1:29500001-29600000	1	29500001	29600000	100	49.153	86.1553	0	0.0195784542227189	TRUE
